Full_Name;Name;Species;Family;Genus;Temperature;Temp_test;pH;pH_test;Inactivation;CT[mg*min/L]or[mWs/cm2];CT_test;Disinfectant;Source;Reference;GenomeT;GenomeS;GenomeSeg;Envelope;Cell;Method 
Echovirus 1;Echovirus 1;Enterovirus B;Picornaviridae;Enterovirus;4.8 to 5.2;5;6;6;99;0.24;0.24;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Echovirus 1;Echovirus 1;Enterovirus B;Picornaviridae;Enterovirus;4.8 to 5.2;5;7.81 to 7.82;7.8;99;0.56;0.56;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Echovirus 1;Echovirus 1;Enterovirus B;Picornaviridae;Enterovirus;4.8 to 5.2;5;10 to 10.4;10.2;99;47;47;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Echovirus 5;Echovirus 5;Enterovirus B;Picornaviridae;Enterovirus;5;5;6;6;99;0.65;0.65;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Echovirus 5;Echovirus 5;Enterovirus B;Picornaviridae;Enterovirus;5;5;10;10;99.99;13.5;13.5;Chlorine;CDF;Engelbrecht et al. (1980);RNA;ss;N;N;NA;NA
Echovirus 1;Echovirus 1;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;13.1;13.1;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Echovirus 7;Echovirus 7;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;3.6;3.6;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Echovirus 9;Echovirus 9;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;6.2;6.2;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Echovirus 11;Echovirus 11;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;6.7;6.7;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Echovirus 12;Echovirus 12;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;7.25;7.25;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Echovirus 19;Echovirus 19;Enterovirus B;Picornaviridae;Enterovirus;2;2;7.8;7.8;99.99;10;10;Chlorine;RSW;Liu et al. (1971);RNA;ss;N;N;NA;NA
Rotavirus;Rotavirus;Rotavirus;Reoviridae;Rotavirus;5;5;6 to 7;6.5;99;0.05;0.05;Chlorine;NA;Andriamirado et al. (2005);RNA;ds;Y;N;NA;NA
Rotavirus;Rotavirus;Rotavirus;Reoviridae;Rotavirus;25;25;6 to 7;6.5;99;0.01;0.01;Chlorine;NA;Andriamirado et al. (2005);RNA;ds;Y;N;NA;NA
Hepatitis A HM175 (dispersed);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.99;2.3;2.3;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (cell associated);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.99;29;29;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (dispersed);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;8;8;99.99;2;2;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (cell associated);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;8;8;99.99;27;27;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (dispersed);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;10;10;99.99;19.3;19.3;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (cell associated);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;10;10;99.99;104;104;Chlorine;BDF;Sobsey et al. (1988);RNA;ss;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99;< 0.5;0.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;6;6;99;< 0.5;0.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;23;23;6;6;99;< 0.1;0.1;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;7;7;99;< 0.3;0.3;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;7;7;99;< 0.3;0.3;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;23;23;7;7;99;< 0.1;0.1;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99;< 0.3;0.3;Chlorine dioxide;BDF;Jacangelo et al. (2002);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;6;6;99.99;0.77 to 1.53;1.15;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;6;6;99.99;0.49 to 0.74;0.615;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;5;5;8;8;99.99;0.8 to 1.59;1.195;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);DNA;ds;N;N;NA;NA
Adenovirus 40;Adenovirus 40;Adenovirus F;Adenoviridae;Mastadenovirus;15;15;8;8;99.99;< 0.12;0.12;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);DNA;ds;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99;0.6 to 15;7.8;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;6;6;99;1 to 5;2.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;25;25;6;6;99;2 to 15;8.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;7;7;99;3 to 15;9;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;7;7;99;2 to 5;3.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;25;25;7;7;99;1 to 2;1.5;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99;0.3 to 1;0.65;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;6;6;99.99;20.2 to 30.3;25.25;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;6;6;99.99;4.2 to 6.72;5.46;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;5;5;8;8;99.99;> 0.68;0.68;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);RNA;ss;N;N;NA;NA
Feline calcivirus;Feline calcivirus;Feline calcivirus;Calciviridae;Vesivirus;15;15;8;8;99.99;< 0.18;0.18;Chlorine dioxide;BDF;Thurston-Enriquez et al. (2005b);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;4;4;8;8;99;1;1;Chlorine dioxide;BDF;Jacangelo et al. (2002);RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;5;5;7;7;99;5.4;5.4;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;15;15;7;7;99;1.3;1.3;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Poliovirus 1;Poliovirus 1;Enterovirus C;Picornaviridae;Enterovirus;25;25;7;7;99;1.08;1.08;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;15;15;7;7;99;0.4;0.4;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;15;15;7;7;99;0.34;0.34;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Coxsackievirus A9;Coxsackievirus A9;Enterovirus B;Picornaviridae;Enterovirus;15;15;7;7;99;0.2;0.2;Chlorine dioxide;NA;"Warriner (1967); Cronier (1977)";RNA;ss;N;N;NA;NA
Rotavirus;Rotavirus;Rotavirus;Reoviridae;Rotavirus;5;5;6 to 7;6.5;99;2.1;2.1;Chlorine dioxide;NA;Andriamirado et al. (2005);RNA;ds;Y;N;NA;NA
Rotavirus;Rotavirus;Rotavirus;Reoviridae;Rotavirus;25;25;6 to 7;6.5;99;0.2;0.2;Chlorine dioxide;NA;Andriamirado et al. (2005);RNA;ds;Y;N;NA;NA
Rotavirus SA11;Rotavirus;Rotavirus;Reoviridae;Rotavirus;5;5;6;6;99;0.2 to 0.3;0.25;Chlorine dioxide;BDF;Berman et al. (1984);RNA;ds;Y;N;NA;NA
Hepatitis A HM175 (dispersed);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.99;12.6;12.6;Chlorine dioxide;BDF;Sobsey et al. (1990);RNA;ss;N;N;NA;NA
Hepatitis A HM175 (cell associated);Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.99;9.6;9.6;Chlorine dioxide;BDF;Sobsey et al. (1990);RNA;ss;N;N;NA;NA
Hepatitis A Nj-3;Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.99;50;50;Chlorine dioxide;CDF;Li J.W. et al. (2004);RNA;ss;N;N;NA;NA
Hepatitis A Nj-3;Hepatitis A;Hepatovirus A;Picornaviridae;Hepatovirus;5;5;6;6;99.9999;75;75;Chlorine dioxide;CDF;Li J.W. et al. (2004);RNA;ss;N;N;NA;NA
